Substituent,Benzene,,Pyridine,
Combination,ΔVC(pred),ΔVC(cal),ΔVC(pred),ΔVC(cal)
"NO2,NO2,NO2",63.6,65.7,59.7,63.7
"NC,NC,NC",54.0,59.5,50.6,57.5
"CHO,CHO,CHO",41.4,39.6,35.5,35.8
"Cl,Cl,Cl",21.0,26.7,19.6,25.1
"OH,OH,OH",-6.0,-1.9,-10.3,-4.6
"Me,Me,Me",-9.9,-10.6,-11.2,-12.3
"OMe,OMe,OMe",-15.0,-10.0,-18.3,-13.4
"NH2,NH2,NH2",-27.0,-19.9,-33.4,-25.5
"NO2,NC,CHO",53.0,51.3,48.6,53.9
"NO2,CHO,OMe",30.0,28.3,25.6,28.4
"NC,OMe,NH2",4.0,8.4,-0.4,7.0
"NC,Cl,OH",23.0,28.6,20.0,28.3
"OH,Me,NH2",-14.3,-11.1,-18.3,-9.5
