,R^2,MAE,MSE,MAPE,MedAE
Ridge,0.8583888334168415,1.6854456879323512,5.089076398239012,1.373993222864282,1.2239536499765886
Linear Regression,0.8553686921727466,1.6960900196799988,5.187554549421238,1.4233591698692312,1.2379038539094884
Multi-layer Perceptron,0.851159476885161,1.72851356409779,5.431653041224043,1.081153652248832,1.115654914073143
Random Forest,0.8481805153368889,1.4026632036815925,5.641537221125975,0.8013732064189518,0.6412550851398171
Elastic Net,0.8052511349873391,2.121587503138091,7.168591832862099,1.9053158542650221,1.6834093890946722
Orthogonal Matching Pursuit,0.8001709094340947,1.946352002077034,7.089793509547894,1.5874841025080584,1.3006441302919733
Decision Tree,0.7905020881171193,1.5849531095745173,7.848345247165055,0.6460791201366607,0.29828104500046104
Lasso,0.7779428115551308,2.2278673483452174,8.117885014676945,1.8858548524399739,1.767958793077126
K-Nearest Neighbors,0.7757620230569464,2.0736977829361405,8.225804447614543,1.475385019271056,1.627138500000032
RANSAC Regressor,-6.158778320667845e+16,413788102.3892681,2.1583054009165967e+18,245326364.9467333,1.9949668401777292
