,R^2,MAE,MSE,MAPE,MedAE
ARD Regression,0.9859757656748446,0.7665545532185535,1.0998881472010393,0.24773881757123184,0.5057534123433705
Huber Regressor,0.9842174502067126,0.8235088690878205,1.2377887482320455,0.3053534865261786,0.598100429561164
Linear Regression,0.9840992832097474,0.8155502742926739,1.2470563115327555,0.2711557558015401,0.661468185341016
Stochastic Gradient Descent,0.9835510682259025,0.8261940551517057,1.290051540282419,0.2690157161893679,0.5742682918107889
Ridge,0.9834119848942652,0.8372079188521883,1.300959523163652,0.2752015590083259,0.6295398270059778
Bayesian Ridge,0.9834009371968578,0.8373430780639799,1.301825968429073,0.27486203091024736,0.6308685074971851
Orthogonal Matching Pursuit,0.9832209839383105,0.9408147574932256,1.315939284816792,0.3529479463208332,0.8442814533331475
Random Forest,0.9824758900049257,0.7328783311744206,1.3743752726133835,0.1490197954318719,0.37245205910001244
Gradient Boosting,0.9803396352714416,0.8213534662472618,1.5419167730107808,0.18663564666103932,0.43895083064986196
Multi-layer Perceptron,0.9611242610362876,1.1541668816825343,3.0489339744681554,0.31079235720147386,0.7738466464851586
Lasso,0.9580479712415317,1.3981942241886562,3.2902002428546098,0.31909242176731,0.9691443807267376
Decision Tree,0.9464991963073922,1.058055641702133,4.195943855678313,0.18850322981698941,0.19999999999999973
Passive Aggressive Regressor,0.940475709726727,1.7233717633838885,4.66835192739846,0.4102415095042521,1.4582243455541044
Elastic Net,0.9172652449621483,1.951642324744424,6.4886948062817575,0.5837431721298122,1.4603975160413354
K-Nearest Neighbors,0.8961498328601667,2.113454186382924,8.14472756755535,0.6055998340574716,1.3600000000000003
Support Vector Regression,0.8673911131929053,2.2324026587912638,10.400207200690154,0.48283985784718386,1.1616224908539672
RANSAC Regressor,-4.8014633404012946e+23,1549280018357.5007,3.765676253608346e+25,254760436226.81448,0.5885430076557121
