substituent,molecular_formula,Name,ΔVC-m,ΔVC -p,σm,σp,Fb,Rc,cid,molecular_weight,exact_mass,monoisotopic_mass,charge,heavy_atom_count,h_bond_donor_count,h_bond_acceptor_count,xlogp,tpsa,canonical_smiles,complexity,covalent_unit_count,all_atoms_count,all_atoms_count_unique,Num_of_Rings,heavy_atoms,aromatic_bond,single_bond,double_bond,triple_bond,C,H,N,O,S,F,Cl,P,Ge,Se,Si,Br,B,As
SO2CN,C7H5NO2S,Benzenesulfonyl cyanide,27.00740289000017,28.3,1.1,1.26,0.97,0.29,10313279,167.19,167.00409958,167.00409958,0,11,0,3,1.2,66.3,C1=CC=C(C=C1)S(=O)(=O)C#N,261,1,16,5,1,11,6,2,2,1,7.0,5.0,1.0,2.0,1.0,,,,,,,,,
C(CN)=C(CN)2,C11H5N3,"2-phenylethene-1,1,2-tricarbonitrile",24.873868889999567,27.0,0.77,0.98,0.65,0.33,285442,179.18,179.048347172,179.048347172,0,14,0,3,1.5,71.4,C1=CC=C(C=C1)C(=C(C#N)C#N)C#N,366,1,19,3,1,14,6,4,1,3,11.0,5.0,3.0,,,,,,,,,,,
SO2Cl,C6H5ClO2S,benzenesulfonyl chloride  ,24.246358889999918,25.2,1.2,1.11,1.16,-0.05,7369,176.62,175.9698783,175.9698783,0,10,0,2,1.3,42.5,C1=CC=C(C=C1)S(=O)(=O)Cl,186,1,15,5,1,10,6,2,2,0,6.0,5.0,,2.0,1.0,,1.0,,,,,,,
C(NO2)3,C7H5N3O6,Trinitromethylbenzene,23.556097889999297,25.1,0.72,0.82,0.65,0.17,12503820,227.13,227.01783489,227.01783489,0,16,0,6,1.7,138,C1=CC=C(C=C1)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],272,1,21,4,1,16,6,7,3,0,7.0,5.0,3.0,6.0,,,,,,,,,,
SO2CF3,C7H5F3O2S,Phenyl trifluoromethyl sulfone,23.242342890000028,24.8,0.83,0.96,0.74,0.22,555605,210.18,209.99623506,209.99623506,0,13,0,5,2.7,42.5,C1=CC=C(C=C1)S(=O)(=O)C(F)(F)F,256,1,18,5,1,13,6,5,2,0,7.0,5.0,,2.0,1.0,3.0,,,,,,,,
CH=NSO2CF3,C8H6F3NO2S,"(NE)-N-benzylidene-1,1,1-trifluoromethanesulfonamide",20.732302890000305,23.7,0.76,1.0,0.63,0.37,13678597,237.20,237.00713409,237.00713409,0,15,0,6,2.4,54.9,C1=CC=C(C=C1)C=NS(=O)(=O)C(F)(F)F,323,1,21,6,1,15,6,6,3,0,8.0,6.0,1.0,2.0,1.0,3.0,,,,,,,,
SO2CHF2,C7H6F2O2S,((Difluoromethyl)sulfonyl)benzene,21.73631889000019,23.0,0.75,0.86,0.67,0.19,11816356,192.19,192.00565693,192.00565693,0,12,0,4,2.1,42.5,C1=CC=C(C=C1)S(=O)(=O)C(F)F,224,1,18,5,1,12,6,4,2,0,7.0,6.0,,2.0,1.0,2.0,,,,,,,,
C(CN)3,C10H5N3,Phenylmethanetricarbonitrile,23.556097889999297,23.0,0.97,0.96,0.92,0.04,20304470,167.17,167.048347172,167.048347172,0,13,0,3,1.3,71.4,C1=CC=C(C=C1)C(C#N)(C#N)C#N,282,1,18,3,1,13,6,4,0,3,10.0,5.0,3.0,,,,,,,,,,,
CH=C(CN)2,C10H6N2,Benzylidenemalononitrile,20.230294889999243,22.8,0.66,0.84,0.57,0.27,17608,154.17,154.053098200,154.053098200,0,12,0,2,2.2,47.6,C1=CC=C(C=C1)C=C(C#N)C#N,247,1,18,3,1,12,6,3,1,2,10.0,6.0,2.0,,,,,,,,,,,
SF3 ,C6H5F3S,phenylsulfur trifluoride,20.544049889999627,22.5,0.7,0.8,0.63,0.17,14694018,166.17,166.00640582,166.00640582,0,10,0,4,4.1,1,C1=CC=C(C=C1)S(F)(F)F,104,1,15,4,1,10,6,4,0,0,6.0,5.0,,,1.0,3.0,,,,,,,,
POF2,C6H5F2OP,Phenylphosphonicdifluoride,20.29304589000021,22.2,0.81,0.89,0.74,0.15,595499,162.07,162.00460810,162.00460810,0,10,0,3,2.6,17.1,C1=CC=C(C=C1)P(=O)(F)F,148,1,15,5,1,10,6,3,1,0,6.0,5.0,,1.0,,2.0,,1.0,,,,,,
PF4 ,C6H5F4P,Phenyltetrafluorophosphorane,18.661519889999557,22.1,0.63,0.8,0.54,0.26,69584,184.07,184.00649981,184.00649981,0,11,0,4,3.7,0,C1=CC=C(C=C1)P(F)(F)(F)F,135,1,16,4,1,11,6,5,0,0,6.0,5.0,,,,4.0,,1.0,,,,,,
GeF3 ,C6H5F3Ge,trifluoro(phenyl)germane,20.79505389000016,22.0,0.85,0.97,0.76,0.21,12697884,206.73,207.9555124,207.9555124,0,10,0,3,,0,C1=CC=C(C=C1)[Ge](F)(F)F,104,1,15,4,1,10,6,4,0,0,6.0,5.0,,,,3.0,,,1.0,,,,,
P(CN)2,C8H5N2P,"Phosphine, dicyanophenyl-",20.669551889999337,21.9,0.82,0.9,0.75,0.15,76276,160.11,160.019035166,160.019035166,0,11,0,2,1.6,47.6,C1=CC=C(C=C1)P(C#N)C#N,197,1,16,4,1,11,6,3,0,2,8.0,5.0,2.0,,,,,1.0,,,,,,
SF5,C6H5F5S,Phenylsulfur pentafluoride,21.799069890000048,21.6,0.61,0.68,0.56,0.12,9942464,204.16,204.00321214,204.00321214,0,12,0,5,5.2,1,C1=CC=C(C=C1)S(F)(F)(F)(F)F,173,1,17,4,1,12,6,6,0,0,6.0,5.0,,,1.0,5.0,,,,,,,,
NO2,C6H5NO2,nitrobenzene ,19.916539889999974,21.2,0.71,0.78,0.65,0.13,7416,123.11,123.032028402,123.032028402,0,9,0,2,1.9,45.8,C1=CC=C(C=C1)[N+](=O)[O-],102,1,14,4,1,9,6,2,1,0,6.0,5.0,1.0,2.0,,,,,,,,,,
P(S)Cl2,C6H5Cl2PS,Phenylphosphonothioic dichloride,16.465234890000218,19.7,0.7,0.8,0.63,0.17,19016,211.05,209.9226637,209.9226637,0,10,0,1,4.2,32.1,C1=CC=C(C=C1)P(=S)(Cl)Cl,148,1,15,5,1,10,6,3,1,0,6.0,5.0,,,1.0,,2.0,1.0,,,,,,
COCF3,C8H5F3O,Trifluoroacetophenone,18.28501388999932,19.6,0.63,0.8,0.54,0.26,9905,174.12,174.02924926,174.02924926,0,12,0,4,2.1,17.1,C1=CC=C(C=C1)C(=O)C(F)(F)F,168,1,17,4,1,12,6,5,1,0,8.0,5.0,,1.0,,3.0,,,,,,,,
N=NCF3 ,C7H5F3N2,Phenyl(trifluoromethyl)diazene,16.778989889999487,19.3,0.56,0.68,0.5,0.18,155133396,174.12,174.04048265,174.04048265,0,12,0,5,3.2,24.7,C1=CC=C(C=C1)N=NC(F)(F)F,159,1,17,4,1,12,6,5,1,0,7.0,5.0,2.0,,,3.0,,,,,,,,
NO ,C6H5NO,nitrosobenzene,16.27698188999954,19.2,0.62,0.91,0.49,0.42,11473,107.11,107.037113783,107.037113783,0,8,0,2,2,29.4,C1=CC=C(C=C1)N=O,76.6,1,13,4,1,8,6,1,1,0,6.0,5.0,1.0,1.0,,,,,,,,,,
N(SO2CF3)2,C8H5F6NO4S2,"N,N-Bis(trifluoromethylsulfonyl)aniline",18.28501388999932,19.2,0.61,0.83,0.5,0.33,142176,357.3,356.95641896,356.95641896,0,21,0,11,3.1,88.3,C1=CC=C(C=C1)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,518,1,26,6,1,21,6,11,4,0,8.0,5.0,1.0,4.0,2.0,6.0,,,,,,,,
SOF,C6H5FOS,benzenesulfinyl fluoride ,18.15951188999961,18.8,0.74,0.83,0.67,0.16,21732560,144.17,144.00451411,144.00451411,0,9,0,3,1.1,36.3,C1=CC=C(C=C1)S(=O)F,110,1,14,5,1,9,6,2,1,0,6.0,5.0,,1.0,1.0,1.0,,,,,,,,
5-chloro- 1-tetrazolyl,C7H5ClN4,5-Chloro-1-phenyl-1H-tetrazole,19.175450579999495,18.615084149999753,0.6,0.61,0.58,0.03,84262,180.59,180.0202739,180.0202739,0,12,0,3,1.5,43.6,C1=CC=C(C=C1)N2C(=NN=N2)Cl,148,1,17,4,2,12,10,2,0,0,7.0,5.0,4.0,,,,1.0,,,,,,,
COF ,C7H5FO,Benzoyl fluoride,15.774973889999595,18.4,0.55,0.7,0.48,0.22,67999,124.11,124.032442941,124.032442941,0,9,0,2,2.3,17.1,C1=CC=C(C=C1)C(=O)F,106,1,14,4,1,9,6,2,1,0,7.0,5.0,,1.0,,1.0,,,,,,,,
CH=CHNO2,C8H7NO2,trans-beta-Nitrostyrene,16.40248388999925,17.8,0.32,0.26,0.35,-0.09,5284459,149.15,149.047678466,149.047678466,0,11,0,2,2.1,45.8,C1=CC=C(C=C1)C=C[N+](=O)[O-],154,1,18,4,1,11,6,3,2,0,8.0,7.0,1.0,2.0,,,,,,,,,,
SO2NH2,C6H7NO2S,Benzenesulphonamide,17.092744889999867,17.5,0.53,0.6,0.49,0.11,7370,157.19,157.01974964,157.01974964,0,10,1,3,0.3,68.5,C1=CC=C(C=C1)S(=O)(=O)N,186,1,17,5,1,10,6,2,2,0,6.0,7.0,1.0,2.0,1.0,,,,,,,,,
