params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lambda_1,param_alpha_1
"{'lambda_1': 1.788649529057435e-06, 'alpha_1': 0.00047508101621027984}",0.6353376946450832,0.25712937453521323,0.0004679310174348454,0.00021531266413020127,0.9647705836015671,0.9564667113826725,0.965827361422644,0.9623457473743462,0.004187567387961975,1,1.788649529057435e-06,0.00047508101621027984
"{'lambda_1': 1.1233240329780266e-06, 'alpha_1': 0.00271858824273294}",0.8440353476714032,0.5512216497944482,0.00047291632896910113,0.00023402497058990095,0.964770591232933,0.9564667004653867,0.9658273511486584,0.9623457428695199,0.0041875711549722704,2,1.1233240329780266e-06,0.00271858824273294
"{'lambda_1': 2.9150530628251757e-05, 'alpha_1': 0.00023644894126454073}",0.5770136669937832,0.2537888418674557,0.0004555416526272893,0.00019461209845904865,0.964770460330537,0.9564666655775642,0.9658274817255744,0.9623457307572401,0.0041875981900776765,3,2.9150530628251757e-05,0.00023644894126454073
"{'lambda_1': 3.274549162877732e-05, 'alpha_1': 0.0001484968262254465}",0.5374259443293946,0.19769833402591408,0.0003255829797126353,3.765232885323213e-05,0.9647704439796997,0.956466659784492,0.9658274981014193,0.9623457287863979,0.004187602258723671,4,3.274549162877732e-05,0.0001484968262254465
"{'lambda_1': 3.1992671377973847e-06, 'alpha_1': 0.010974987654930568}",0.7036470556437658,0.20580385564632966,0.00040605536196380854,5.9675135633830224e-05,0.96477059905651,0.9564666526036394,0.9658273326512559,0.9623457233549926,0.004187590026780225,5,3.1992671377973847e-06,0.010974987654930568
"{'lambda_1': 3.678379771828634e-05, 'alpha_1': 0.002420128264794381}",0.6205734163328694,0.1760159524354159,0.00035441699825848144,6.789152949492294e-05,0.9647704305034973,0.9564666405279039,0.9658275087694959,0.9623457213840643,0.004187611627266953,6,3.678379771828634e-05,0.002420128264794381
"{'lambda_1': 3.274549162877732e-05, 'alpha_1': 0.004862601580065354}",0.8119593746766137,0.4694561051460616,0.0003365553372229139,2.5857481794026516e-05,0.9647704537301733,0.9564666344691027,0.9658274825304763,0.9623457184214423,0.004187611730971527,7,3.274549162877732e-05,0.004862601580065354
"{'lambda_1': 5.2140082879996844e-05, 'alpha_1': 0.00047508101621027984}",0.581663236002593,0.19882193346329366,0.00040516666679953534,8.023696022733524e-05,0.9647703572782627,0.9564666239658632,0.9658275851882188,0.9623457167150515,0.004187626296520711,8,5.2140082879996844e-05,0.00047508101621027984
"{'lambda_1': 1.6297508346206434e-05, 'alpha_1': 0.031257158496882355}",0.7044306533255925,0.47843180219163645,0.00032299999535704654,2.9578663805271168e-05,0.964770582332005,0.9564665212893592,0.9658273222219103,0.9623456704207207,0.004187645528567138,9,1.6297508346206434e-05,0.031257158496882355
"{'lambda_1': 0.0001176811952434998, 'alpha_1': 0.0019179102616724887}",1.223534680631322,0.2555943694344061,0.00046093034325167537,8.495917477008393e-05,0.9647694849342313,0.9564664987182842,0.9658278925931009,0.9623454852384216,0.004187601036232272,10,0.0001176811952434998,0.0019179102616724887
"{'lambda_1': 0.0001176811952434998, 'alpha_1': 0.004328761281083057}",0.7169240833415339,0.42775094186758766,0.0003974583426800867,0.00011534983286801232,0.9647694896682666,0.9564664857701595,0.9658278846981777,0.962345479875396,0.004187605850371323,11,0.0001176811952434998,0.004328761281083057
"{'lambda_1': 0.00021049041445120198, 'alpha_1': 0.00026560877829466864}",0.5675604166463017,0.2516545559043975,0.00030869466718286276,8.570851683583729e-06,0.9647690745773787,0.9564663381998302,0.9658274687427476,0.9623451539060309,0.00418748009154373,12,0.00021049041445120198,0.00026560877829466864
"{'lambda_1': 0.00026560877829466864, 'alpha_1': 0.04977023564332114}",0.46866351367983344,0.18733684903433068,0.00032120834415157634,1.673019324066479e-05,0.9647689283068747,0.9564659713654262,0.9658275932754202,0.9623450237133819,0.004187658252651616,13,0.00026560877829466864,0.04977023564332114
"{'lambda_1': 0.0010722672220103231, 'alpha_1': 0.008697490026177835}",0.7086511250042046,0.2778663611333566,0.0014723336789757013,0.0016305134871699473,0.9647653322189478,0.9564647723611743,0.965831742945991,0.962344797086501,0.004188670565136723,14,0.0010722672220103231,0.008697490026177835
"{'lambda_1': 0.0012045035402587824, 'alpha_1': 0.00037649358067924675}",0.7662620836636052,0.52271845912637,0.0003250973531976342,1.0544558821484003e-05,0.9647647589053201,0.9564645967112417,0.9658324142516559,0.962344769365821,0.004188827577480495,15,0.0012045035402587824,0.00037649358067924675
