params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lambda_1,param_alpha_1
"{'lambda_1': 0.0012045035402587824, 'alpha_1': 0.00037649358067924675}",1.8055234446643833,0.2704369119156673,0.000439750333801688,0.00018305349452569066,0.8764513575619716,0.8544459240870415,0.9087852234706499,0.8798181392808593,0.02229711582674773,1,0.0012045035402587824,0.00037649358067924675
"{'lambda_1': 1.6297508346206434e-05, 'alpha_1': 0.031257158496882355}",1.4767873750012466,0.29275203298355773,0.0003456250002879339,4.535718262510768e-05,0.8763939167897776,0.8544361136323391,0.9088294393487384,0.8798103242672364,0.022322816068083763,2,1.6297508346206434e-05,0.031257158496882355
"{'lambda_1': 3.1992671377973847e-06, 'alpha_1': 0.010974987654930568}",1.8657861250006438,0.5431328139461261,0.0003506806679069996,3.146421527980458e-05,0.8763927220465473,0.8544367631855146,0.9088296315902268,0.8798102058022117,0.022322713294664318,3,3.1992671377973847e-06,0.010974987654930568
"{'lambda_1': 1.1233240329780266e-06, 'alpha_1': 0.00271858824273294}",2.2297794583331174,0.5095232962057694,0.00041362500026783283,5.127164368921876e-05,0.8763917933737158,0.8544370543133184,0.9088296579982222,0.8798100014842877,0.022322661605045584,4,1.1233240329780266e-06,0.00271858824273294
"{'lambda_1': 1.788649529057435e-06, 'alpha_1': 0.00047508101621027984}",1.7567612083342585,0.4053170034679058,0.00033838900102030795,2.2992333276293684e-05,0.8763913741594567,0.8544371434349327,0.9088296450976081,0.8798098868862793,0.022322643643847458,5,1.788649529057435e-06,0.00047508101621027984
"{'lambda_1': 2.9150530628251757e-05, 'alpha_1': 0.00023644894126454073}",1.691254944666677,0.41890345615443353,0.00048105566505303915,0.00023442648799037837,0.876387625603839,0.8544373765715455,0.9088290865138313,0.8798085267816227,0.022322506221330893,6,2.9150530628251757e-05,0.00023644894126454073
"{'lambda_1': 3.274549162877732e-05, 'alpha_1': 0.004862601580065354}",1.7019746946668117,0.45999966205698845,0.00038256966702950496,7.825874985728775e-05,0.8763878110525885,0.8544372336340116,0.9088289982262101,0.8798085117150016,0.02232251296074011,7,3.274549162877732e-05,0.004862601580065354
"{'lambda_1': 3.274549162877732e-05, 'alpha_1': 0.0001484968262254465}",1.3811111116677541,0.24048721572879594,0.0002914166664898706,8.613869325017139e-06,0.8763871260220149,0.8544374095378009,0.9088289931349306,0.8798083398713101,0.02232247903435702,8,3.274549162877732e-05,0.0001484968262254465
"{'lambda_1': 3.678379771828634e-05, 'alpha_1': 0.002420128264794381}",1.7993740140009322,0.5853363269010864,0.00036712533377188567,9.378020375480907e-05,0.8763869090752857,0.854437358178361,0.9088288896757456,0.8798082158956766,0.022322465057359943,9,3.678379771828634e-05,0.002420128264794381
"{'lambda_1': 5.2140082879996844e-05, 'alpha_1': 0.00047508101621027984}",1.263876541666832,0.27670434964507745,0.0003731809993041679,5.302868503768271e-05,0.8763845513072712,0.8544375584069444,0.9088285225893846,0.8798073731051786,0.02232235155886071,10,5.2140082879996844e-05,0.00047508101621027984
"{'lambda_1': 0.0001176811952434998, 'alpha_1': 0.004328761281083057}",1.7117519303343822,0.49330541910105596,0.00040795799941406585,6.25805782067395e-05,0.8763762973589272,0.854437970676954,0.9088267247394229,0.8798041562045374,0.022321843223460782,11,0.0001176811952434998,0.004328761281083057
"{'lambda_1': 0.0001176811952434998, 'alpha_1': 0.0019179102616724887}",1.7822794306666765,0.4636711518767685,0.0004074026667998017,7.580761228610185e-05,0.8763759561560942,0.8544380606660608,0.9088267214126086,0.8798040711431641,0.02232182512447989,12,0.0001176811952434998,0.0019179102616724887
"{'lambda_1': 0.0010722672220103231, 'alpha_1': 0.008697490026177835}",1.7424174860000978,0.2095288830374357,0.00040105566707400914,6.600359356898541e-05,0.8764038594358424,0.8544448294422484,0.9087910363531387,0.8798038264947711,0.022302445034179306,13,0.0010722672220103231,0.008697490026177835
"{'lambda_1': 0.00021049041445120198, 'alpha_1': 0.00026560877829466864}",1.755245694332795,0.2315098441337026,0.0003090973332291469,1.9259369045760192e-05,0.8763635045711422,0.8544385488430429,0.9088240371615448,0.8797991828051477,0.02232112226813181,14,0.00021049041445120198,0.00026560877829466864
"{'lambda_1': 0.00026560877829466864, 'alpha_1': 0.04977023564332114}",1.754076402667124,0.5193883154507704,0.0003827500004263129,7.573304496085995e-05,0.8763631027615675,0.8544371787732035,0.9088224404615574,0.8797980611922951,0.022320974750143253,15,0.00026560877829466864,0.04977023564332114
