params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lambda_1,param_alpha_1
"{'lambda_1': 5.8570208180566735e-05, 'alpha_1': 0.015556761439304723}",0.19031419465318322,0.09661294250781947,0.0007076106849126518,0.0005560955099187801,0.9661023777108502,0.9567005406780077,0.9638840911072345,0.9622246476707802,0.004017116816114451,1,5.8570208180566735e-05,0.015556761439304723
"{'lambda_1': 0.00037649358067924675, 'alpha_1': 0.006892612104349695}",0.13437794465183592,0.05683788204712386,0.0007706806839754184,0.00046371355631783147,0.9661022327965357,0.9567005246927004,0.9638841847630281,0.9622246249507224,0.004017090240773031,2,0.00037649358067924675,0.006892612104349695
"{'lambda_1': 7.220809018385457e-06, 'alpha_1': 2.2570197196339214e-06}",0.13488679165796688,0.06976061457119163,0.0007645553171945115,0.0006062144168650314,0.9661021844749762,0.9567005193985543,0.963884217000243,0.962224617720971,0.004017081501174396,3,7.220809018385457e-06,2.2570197196339214e-06
"{'lambda_1': 6.579332246575683e-05, 'alpha_1': 6.579332246575683e-05}",0.15433458366896957,0.014451826641610233,0.00041818030877038836,3.45104356154178e-05,0.9661021789842608,0.9567005187891052,0.9638842204496056,0.9622246168259679,0.004017080482468115,4,6.579332246575683e-05,6.579332246575683e-05
"{'lambda_1': 0.00021049041445120198, 'alpha_1': 0.00029836472402833405}",0.07381759700365365,0.017560020987118327,0.00042049998107055825,3.2719626604683786e-05,0.9661021663863887,0.9567005173899576,0.9638842283418487,0.9622246147649182,0.004017078142538324,5,0.00021049041445120198,0.00029836472402833405
"{'lambda_1': 0.0006734150657750821, 'alpha_1': 1.1497569953977357e-05}",0.13273472232200825,0.05859577714678741,0.0010833889828063548,0.001057937313232875,0.9661021129064102,0.956700511461798,0.9638842621664645,0.9622246061256235,0.004017068248026604,6,0.0006734150657750821,1.1497569953977357e-05
"{'lambda_1': 0.0013530477745798061, 'alpha_1': 3.1992671377973847e-06}",0.15572222232973823,0.061451124460413266,0.0006977360268744329,0.000503889982584696,0.966102039666573,0.9567005033387478,0.9638843083894542,0.9622245942598605,0.004017054686650866,7,0.0013530477745798061,3.1992671377973847e-06
"{'lambda_1': 0.0021544346900318843, 'alpha_1': 0.004328761281083057}",0.11513905500760302,0.016445185119273398,0.0004519170227771004,0.00013954295677194985,0.9661020087200292,0.956700499865951,0.9638843268270921,0.962224588870087,0.00401704882546871,8,0.0021544346900318843,0.004328761281083057
"{'lambda_1': 0.002420128264794381, 'alpha_1': 3.5938136638046257e-06}",0.17378176399506629,0.0523910303434159,0.0007023196667432785,0.0004897822842965281,0.9661019248433073,0.9567004906012653,0.9638843808481571,0.9622245756534962,0.004017033426587255,9,0.002420128264794381,3.5938136638046257e-06
"{'lambda_1': 0.010974987654930568, 'alpha_1': 0.00029836472402833405}",0.1556918613302211,0.04230992492671019,0.0007454303364890317,0.0004918219782391262,0.9661010079335279,0.9567003887848448,0.9638849591691487,0.9622244269435424,0.004016863711981669,10,0.010974987654930568,0.00029836472402833405
"{'lambda_1': 0.013848863713938717, 'alpha_1': 2.310129700083158e-05}",0.09730912498586501,0.028601158753399768,0.00032795866718515754,3.070580451802055e-05,0.9661006950857005,0.9567003540081851,0.96388515649766,0.9622243761937596,0.004016805843251911,11,0.013848863713938717,2.310129700083158e-05
"{'lambda_1': 0.022051307399030457, 'alpha_1': 0.0005336699231206307}",0.12391541634375851,0.03825917241828909,0.0004132639927168687,0.00010326133624267471,0.9660998186593739,0.9567002564614012,0.9638857087404168,0.9622242337937656,0.004016643759148989,12,0.022051307399030457,0.0005336699231206307
"{'lambda_1': 0.02782559402207126, 'alpha_1': 0.0005994842503189409}",0.08264287499090035,0.01446235071529009,0.0003629720110135774,2.7406487349023447e-05,0.966099197831644,0.9567001872676207,0.9638860997900879,0.9622241328451518,0.004016529016976877,13,0.02782559402207126,0.0005994842503189409
"{'lambda_1': 0.03944206059437656, 'alpha_1': 0.0001668100537200059}",0.11969704132449503,0.051274682588915,0.0011228056585726638,0.0011455040476361282,0.9660979413996912,0.9567000469897718,0.963886890799063,0.9622239283319572,0.004016296979067383,14,0.03944206059437656,0.0001668100537200059
"{'lambda_1': 0.044306214575838776, 'alpha_1': 0.0038535285937105275}",0.09044122265186161,0.018869591884216413,0.0005268333285736541,0.00025635367611385204,0.9660974648314244,0.9566999936590038,0.9638871896715381,0.9622238503339426,0.004016208905789304,15,0.044306214575838776,0.0038535285937105275
