params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lambda_1,param_alpha_1
"{'lambda_1': 5.8570208180566735e-05, 'alpha_1': 0.015556761439304723}",0.05360381999950429,0.011649900108805802,0.0006438890001542555,0.0004557401262158174,0.8574001360592032,0.8626778767979542,0.9101083016417267,0.876640930630833,0.02367017951408918,1,5.8570208180566735e-05,0.015556761439304723
"{'lambda_1': 0.00037649358067924675, 'alpha_1': 0.006892612104349695}",0.07864061099947624,0.050368807788340395,0.000545971998993385,0.00034820035063709115,0.8573996422349138,0.8626780164248169,0.9101076231928655,0.8766405872949654,0.023669968074345557,2,0.00037649358067924675,0.006892612104349695
"{'lambda_1': 7.220809018385457e-06, 'alpha_1': 2.2570197196339214e-06}",0.07359137533300479,0.003598888726261599,0.00031011066676001064,1.5820030449636073e-05,0.8573995107845036,0.862678055155528,0.9101074380018257,0.876640494901616,0.023669909329242702,3,7.220809018385457e-06,2.2570197196339214e-06
"{'lambda_1': 6.579332246575683e-05, 'alpha_1': 6.579332246575683e-05}",0.08844759733256069,0.031031779043106406,0.0003159863335895352,1.4044020077623974e-05,0.8573994888263514,0.8626780612115985,0.9101074082792759,0.8766404797316012,0.02366990016628662,4,6.579332246575683e-05,6.579332246575683e-05
"{'lambda_1': 0.00021049041445120198, 'alpha_1': 0.00029836472402833405}",0.045214027665982336,0.008622475197390306,0.0003367776686597305,4.354393128517165e-05,0.8573994377261528,0.862678075276285,0.9101073391939504,0.8766404444467035,0.023669878887622616,5,0.00021049041445120198,0.00029836472402833405
"{'lambda_1': 0.0006734150657750821, 'alpha_1': 1.1497569953977357e-05}",0.05056233366606951,0.013564004900976869,0.0007535279995257346,0.0006132005777093657,0.8573992313761374,0.8626781324904248,0.9101070589820304,0.8766403016915506,0.02366979229990449,6,0.0006734150657750821,1.1497569953977357e-05
"{'lambda_1': 0.0013530477745798061, 'alpha_1': 3.1992671377973847e-06}",0.05554459700094109,0.01292409207621925,0.0003046803334048794,1.854616522904736e-05,0.8573989456142354,0.8626782115935159,0.9101066712939441,0.876640104074793,0.02366967258529826,7,0.0013530477745798061,3.1992671377973847e-06
"{'lambda_1': 0.0021544346900318843, 'alpha_1': 0.004328761281083057}",0.05223379166515466,0.0010553063758875043,0.0003112639994166481,3.34684973536262e-05,0.8573987889670549,0.8626782534821322,0.910106463084896,0.876639996683536,0.02366960927312554,8,0.0021544346900318843,0.004328761281083057
"{'lambda_1': 0.002420128264794381, 'alpha_1': 3.5938136638046257e-06}",0.06480095833345938,0.02544304043598644,0.0007044169991180146,0.00028968239998464717,0.8573984975426341,0.8626783356291007,0.9101060633515395,0.876639794197643,0.023669484851517594,9,0.002420128264794381,3.5938136638046257e-06
"{'lambda_1': 0.010974987654930568, 'alpha_1': 0.00029836472402833405}",0.06416355566761922,0.013889604101758643,0.0005690693324140739,0.00029596623912272666,0.8573949192268726,0.8626793264045876,0.9101012057416632,0.8766373187332763,0.023667984454975564,10,0.010974987654930568,0.00029836472402833405
"{'lambda_1': 0.013848863713938717, 'alpha_1': 2.310129700083158e-05}",0.07686931966600241,0.026268256201730764,0.0005680836657120381,0.0003277628321366091,0.8573937022954367,0.8626796636109142,0.9100995522111539,0.8766364764439788,0.02366747346327118,11,0.013848863713938717,2.310129700083158e-05
"{'lambda_1': 0.022051307399030457, 'alpha_1': 0.0005336699231206307}",0.04415597199840704,0.01520741646454655,0.0005922643334391372,0.0003779495530523909,0.8573902848515897,0.8626806104869771,0.9100949068294557,0.8766341104434457,0.023666037722727098,12,0.022051307399030457,0.0005336699231206307
"{'lambda_1': 0.02782559402207126, 'alpha_1': 0.0005994842503189409}",0.03426369433388269,0.0019503660921855338,0.00030947233487192233,2.22608529550479e-05,0.8573878686059786,0.8626812803759326,0.9100916192992468,0.8766324367168628,0.023665021169507687,13,0.02782559402207126,0.0005994842503189409
"{'lambda_1': 0.03944206059437656, 'alpha_1': 0.0001668100537200059}",0.05107877800158652,0.008121186377447012,0.00030363899835113745,2.0807255207005637e-05,0.8573829885898756,0.8626826343207292,0.9100849719368298,0.8766290541412826,0.02366296453020308,14,0.03944206059437656,0.0001668100537200059
"{'lambda_1': 0.044306214575838776, 'alpha_1': 0.0038535285937105275}",0.04428079199957816,0.015191485007949939,0.0005699719986296259,0.0003629758523414925,0.8573811075802928,0.8626831551748495,0.9100824110012924,0.8766277504106997,0.023662172692366673,15,0.044306214575838776,0.0038535285937105275
