param_hidden_layer_sizes,param_alpha,mean_partial_fit_time,model_id,params,param_activation,mean_score_time,std_partial_fit_time,param_learning_rate,std_score_time,param_solver,param_batch_size,test_score,partial_fit_calls,bracket,rank_test_score
"(1200, 1200)",1.5037553212997384e-06,0.5354976654052734,bracket=1-2,"{'solver': 'adam', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (1200, 1200), 'batch_size': 64, 'alpha': 1.5037553212997384e-06, 'activation': 'relu'}",relu,0.06797260046005249,0.1799275737362169,invscaling,0.04775718623476909,adam,64,0.8579120907942472,15,1,1
"(1200, 1200)",0.0009331897715733239,0.787270724773407,bracket=0-0,"{'solver': 'adam', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (1200, 1200), 'batch_size': 16, 'alpha': 0.0009331897715733239, 'activation': 'relu'}",relu,0.01819676160812378,0.46872726843738954,adaptive,0.007436199211872337,adam,16,0.8419693096771377,15,0,1
"(1200, 600, 300, 300)",0.00011247371783647519,1.3186769485473633,bracket=1-3,"{'solver': 'adam', 'learning_rate': 'constant', 'hidden_layer_sizes': (1200, 600, 300, 300), 'batch_size': 16, 'alpha': 0.00011247371783647519, 'activation': 'tanh'}",tanh,0.03176760673522949,0.8226618766784668,constant,0.01894831657409668,adam,16,0.8214877677070639,5,1,2
"(2400,)",1.0715933998226711e-05,0.29186320304870605,bracket=2-4,"{'solver': 'adam', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (2400,), 'batch_size': 16, 'alpha': 1.0715933998226711e-05, 'activation': 'relu'}",relu,0.009734630584716797,0.14131555733682294,adaptive,0.0031699068718820103,adam,16,0.8207603805748078,9,2,1
"(400, 400, 400, 400, 400, 400)",9.727203192450537e-05,0.9760403633117676,bracket=0-1,"{'solver': 'sgd', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (400, 400, 400, 400, 400, 400), 'batch_size': 16, 'alpha': 9.727203192450537e-05, 'activation': 'relu'}",relu,0.027071714401245117,0.8584232558909692,invscaling,0.021105876151008174,sgd,16,0.7642693246202942,15,0,2
"(1200, 600, 300, 300)",0.00019692202554791714,1.5937172174453735,bracket=2-1,"{'solver': 'sgd', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (1200, 600, 300, 300), 'batch_size': 16, 'alpha': 0.00019692202554791714, 'activation': 'relu'}",relu,0.040866851806640625,0.21409499645233154,invscaling,0.02392888069152832,sgd,16,0.7535916695722511,3,2,2
"(1200, 1200)",1.148312414543511e-05,0.42935657501220703,bracket=2-6,"{'solver': 'sgd', 'learning_rate': 'constant', 'hidden_layer_sizes': (1200, 1200), 'batch_size': 64, 'alpha': 1.148312414543511e-05, 'activation': 'tanh'}",tanh,0.024024486541748047,0.036698341369628906,constant,0.008924484252929688,sgd,64,0.6845951784518085,3,2,3
"(1200, 600, 300, 300)",1.2650337203959038e-05,0.1653340458869934,bracket=0-2,"{'solver': 'sgd', 'learning_rate': 'constant', 'hidden_layer_sizes': (1200, 600, 300, 300), 'batch_size': 512, 'alpha': 1.2650337203959038e-05, 'activation': 'relu'}",relu,0.03851675987243652,0.06924808686606398,constant,0.009100009816921576,sgd,512,0.6123850005829001,15,0,3
"(400, 400, 400, 400, 400, 400)",1.2476595526308684e-06,0.6072865724563599,bracket=1-0,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (400, 400, 400, 400, 400, 400), 'batch_size': 128, 'alpha': 1.2476595526308684e-06, 'activation': 'relu'}",relu,0.048050880432128906,0.0577775239944458,adaptive,0.011579751968383789,sgd,128,0.470945621019099,5,1,3
"(600, 600, 600, 600)",1.0790287915161837e-06,0.44695091247558594,bracket=2-5,"{'solver': 'adam', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (600, 600, 600, 600), 'batch_size': 128, 'alpha': 1.0790287915161837e-06, 'activation': 'logistic'}",logistic,0.04464888572692871,0.0,adaptive,0.0,adam,128,-0.008081625247950974,1,2,4
"(600, 600, 600, 600)",0.00010280447320933097,0.37537217140197754,bracket=1-4,"{'solver': 'adam', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (600, 600, 600, 600), 'batch_size': 256, 'alpha': 0.00010280447320933097, 'activation': 'logistic'}",logistic,0.047197580337524414,0.06815195083618164,invscaling,0.0054454803466796875,adam,256,-0.119506804094905,5,1,4
"(400, 400, 400, 400, 400, 400)",0.0008648423275731718,0.5009489059448242,bracket=2-0,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (400, 400, 400, 400, 400, 400), 'batch_size': 128, 'alpha': 0.0008648423275731718, 'activation': 'tanh'}",tanh,0.08269286155700684,0.0,adaptive,0.0,sgd,128,-0.12090858210046096,1,2,5
"(400, 400, 400, 400, 400, 400)",0.00021844360711494262,0.4217296838760376,bracket=1-1,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (400, 400, 400, 400, 400, 400), 'batch_size': 256, 'alpha': 0.00021844360711494262, 'activation': 'logistic'}",logistic,0.07839512825012207,0.058681607246398926,adaptive,0.009078025817871094,sgd,256,-0.12628747060042622,5,1,5
"(600, 600, 600, 600)",2.6880010215376073e-06,0.24148893356323242,bracket=2-7,"{'solver': 'adam', 'learning_rate': 'constant', 'hidden_layer_sizes': (600, 600, 600, 600), 'batch_size': 512, 'alpha': 2.6880010215376073e-06, 'activation': 'logistic'}",logistic,0.04528212547302246,0.0,constant,0.0,adam,512,-0.5162039924471973,1,2,6
"(2400,)",0.0006883952069645496,0.044450998306274414,bracket=2-2,"{'solver': 'adam', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (2400,), 'batch_size': 512, 'alpha': 0.0006883952069645496, 'activation': 'relu'}",relu,0.00795602798461914,0.0,invscaling,0.0,adam,512,-0.6926020577423275,1,2,7
"(1200, 600, 300, 300)",3.959110266468459e-05,0.28047800064086914,bracket=2-3,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (1200, 600, 300, 300), 'batch_size': 512, 'alpha': 3.959110266468459e-05, 'activation': 'tanh'}",tanh,0.047338008880615234,0.0,adaptive,0.0,sgd,512,-0.6972212313875381,1,2,8
"(2400,)",6.9317172761554005e-06,0.05138897895812988,bracket=2-8,"{'solver': 'sgd', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (2400,), 'batch_size': 512, 'alpha': 6.9317172761554005e-06, 'activation': 'tanh'}",tanh,0.011619091033935547,0.0,invscaling,0.0,sgd,512,-0.7217921757907517,1,2,9
