param_solver,test_score,param_hidden_layer_sizes,rank_test_score,param_alpha,partial_fit_calls,param_learning_rate,mean_score_time,mean_partial_fit_time,param_activation,param_batch_size,params,model_id,bracket,std_score_time,std_partial_fit_time
adam,0.8905894650474794,"(1200, 1200)",1,1.5037553212997384e-06,15,invscaling,0.025590479373931885,0.270942747592926,relu,64,"{'solver': 'adam', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (1200, 1200), 'batch_size': 64, 'alpha': 1.5037553212997384e-06, 'activation': 'relu'}",bracket=1-2,1,0.007388926580266168,0.09267722467682057
adam,0.8824516007159396,"(1200, 1200)",1,0.0009331897715733239,11,adaptive,0.009719610214233398,0.6400899887084961,relu,16,"{'solver': 'adam', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (1200, 1200), 'batch_size': 16, 'alpha': 0.0009331897715733239, 'activation': 'relu'}",bracket=0-0,0,0.0023998037998905477,0.3335175595770302
adam,0.8568224360969009,"(1200, 600, 300, 300)",2,0.00011247371783647519,5,constant,0.021485447883605957,1.008259892463684,tanh,16,"{'solver': 'adam', 'learning_rate': 'constant', 'hidden_layer_sizes': (1200, 600, 300, 300), 'batch_size': 16, 'alpha': 0.00011247371783647519, 'activation': 'tanh'}",bracket=1-3,1,0.008152365684509277,0.5732771158218384
adam,0.8514205532105239,"(2400,)",1,1.0715933998226711e-05,9,adaptive,0.003737807273864746,0.18400782346725464,relu,16,"{'solver': 'adam', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (2400,), 'batch_size': 16, 'alpha': 1.0715933998226711e-05, 'activation': 'relu'}",bracket=2-4,2,0.0013299282889405765,0.08296156061725521
sgd,0.7626355812755388,"(1200, 600, 300, 300)",2,0.00019692202554791714,3,invscaling,0.03389108180999756,0.8433820009231567,relu,16,"{'solver': 'sgd', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (1200, 600, 300, 300), 'batch_size': 16, 'alpha': 0.00019692202554791714, 'activation': 'relu'}",bracket=2-1,2,0.019105076789855957,0.3325608968734741
sgd,0.7537519528619336,"(1200, 1200)",3,1.148312414543511e-05,3,constant,0.026160478591918945,0.3057875633239746,tanh,64,"{'solver': 'sgd', 'learning_rate': 'constant', 'hidden_layer_sizes': (1200, 1200), 'batch_size': 64, 'alpha': 1.148312414543511e-05, 'activation': 'tanh'}",bracket=2-6,2,0.0022134780883789062,0.03240156173706055
sgd,0.7274915473822305,"(400, 400, 400, 400, 400, 400)",2,9.727203192450537e-05,15,invscaling,0.017847299575805664,0.6404518485069275,relu,16,"{'solver': 'sgd', 'learning_rate': 'invscaling', 'hidden_layer_sizes': (400, 400, 400, 400, 400, 400), 'batch_size': 16, 'alpha': 9.727203192450537e-05, 'activation': 'relu'}",bracket=0-1,0,0.009628802954067123,0.5975950917410413
sgd,0.5733933609372037,"(1200, 600, 300, 300)",3,1.2650337203959038e-05,15,constant,0.02609574794769287,0.10959899425506592,relu,512,"{'solver': 'sgd', 'learning_rate': 'constant', 'hidden_layer_sizes': (1200, 600, 300, 300), 'batch_size': 512, 'alpha': 1.2650337203959038e-05, 'activation': 'relu'}",bracket=0-2,0,0.01307494032168774,0.0526632307251255
sgd,0.5090242710255346,"(400, 400, 400, 400, 400, 400)",3,1.2476595526308684e-06,5,adaptive,0.04095745086669922,0.38176846504211426,relu,128,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (400, 400, 400, 400, 400, 400), 'batch_size': 128, 'alpha': 1.2476595526308684e-06, 'activation': 'relu'}",bracket=1-0,1,0.011019468307495117,0.09537053108215332
sgd,0.03004308460627425,"(400, 400, 400, 400, 400, 400)",4,0.0008648423275731718,1,adaptive,0.036485910415649414,0.3704688549041748,tanh,128,"{'solver': 'sgd', 'learning_rate': 'adaptive', 'hidden_layer_sizes': (400, 400, 400, 400, 400, 400), 'batch_size': 128, 'alpha': 0.0008648423275731718, 'activation': 'tanh'}",bracket=2-0,2,0.0,0.0
