params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'friedman_mse'}",1.612953374996626,0.057101699703366926,0.04344099998706952,0.0010494716277439132,0.8892600373630999,0.8627353359804906,0.8982833567588459,0.8833871457006593,0.01508785882947829,1,1000,10,1,auto,10,friedman_mse
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'absolute_error'}",8.991328861021126,0.22524704087371109,0.029862680666459102,0.004710868568434817,0.8828571533616931,0.8492253884813148,0.8950743707568869,0.8756680356037625,0.019386393456692318,2,500,10,3,auto,20,absolute_error
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'absolute_error'}",8.013240597637681,0.3258159864025568,0.025321652685912948,0.0015348268960204605,0.8821315914006526,0.8460933352084041,0.8979018767091587,0.8753163214334321,0.021681197039975852,3,500,2,4,auto,10,absolute_error
"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'absolute_error'}",30.85323968032996,3.665147318324115,0.09265869467829664,0.00479382584397938,0.8806891687242739,0.8469587292583589,0.896333551460208,0.8746034487573173,0.020600058365219633,4,2000,2,4,auto,20,absolute_error
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'squared_error'}",0.11532593068356316,0.009062406447090424,0.0050394299905747175,0.00035980127550157374,0.8745011270293295,0.8592082103556845,0.8799447819567723,0.8711950746696056,0.008778310840581121,5,100,5,2,log2,10,squared_error
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'absolute_error'}",2.445162319325997,0.46229814370290045,0.04426830566565817,0.01967208373470949,0.8632455771875711,0.8583938354337188,0.8773208125871422,0.8662911257602205,0.008017580703217985,6,500,10,1,log2,10,absolute_error
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'squared_error'}",0.8708879723174808,0.00949911213485094,0.04855000002620121,0.0015440418091599917,0.8639579954045165,0.8491054166291321,0.8747363614288177,0.8625679864955379,0.010503094501313457,7,1000,10,3,sqrt,20,squared_error
"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'squared_error'}",0.8254946526528025,0.05065059976480681,0.04704431999319544,0.0024844920744082383,0.8596303102866667,0.8370610318719895,0.8649622381477878,0.8538553748967648,0.012096045791757864,8,1000,2,3,sqrt,5,squared_error
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'friedman_mse'}",0.19007299966566885,0.007997437623177865,0.013538805670881024,0.003401390559444404,0.854270069561365,0.8415771252081192,0.8646815856512489,0.8534801934941627,0.00944267339193634,9,200,5,5,sqrt,10,friedman_mse
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'absolute_error'}",2.040079374991668,0.19713450452202383,0.026016028015874326,0.002802645885157555,0.8490339463223431,0.8451509636840604,0.8573848076055108,0.8505051824450199,0.005098806157509115,10,500,10,3,log2,10,absolute_error
"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'friedman_mse'}",0.4515262496618864,0.016863188019082397,0.02737398633811002,0.005437296527792799,0.8541213161744242,0.8339742397241616,0.8586151509916964,0.8488780121686162,0.010717344405040291,11,500,5,1,log2,5,friedman_mse
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'absolute_error'}",3.75875383336097,0.35490850904417715,0.04563604165256644,0.001830118980326381,0.842727549137261,0.8392316608453687,0.8559793728214955,0.8459532122192169,0.007204749650191293,12,1000,10,5,sqrt,10,absolute_error
"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'friedman_mse'}",0.4462802779744379,0.019571337322850095,0.02367854133869211,0.003001744799701478,0.8505911748831048,0.8330299766542566,0.8491969271280361,0.8442597343773091,0.00797662271461382,13,500,5,5,sqrt,5,friedman_mse
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'absolute_error'}",1.716783763996015,0.11685182550042046,0.028152027671846252,0.005001247463239536,0.8316959976473899,0.8343719844694633,0.845389619740996,0.837130857411068,0.005918755823420757,14,500,10,5,log2,10,absolute_error
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'absolute_error'}",0.3333238749958885,0.02771417718357705,0.006061819013363372,0.0019378935163984646,0.8201006253054287,0.8163687077879855,0.8415695686066403,0.825972028808685,0.011091038077202183,15,100,5,5,log2,5,absolute_error
