params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'friedman_mse'}",0.18657133336334178,0.02485776655464319,0.010282333008944988,0.0009269401830599881,0.8676839984921275,0.8594183870120901,0.8791847490406444,0.8687349508898864,0.008098513039462267,1,200,5,2,sqrt,10,friedman_mse
"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'squared_error'}",3.03344799997285,0.178836058837905,0.09447509706175576,0.01218880062069727,0.8713839620835353,0.8361794006210325,0.8787824327165726,0.8620714041730744,0.018591222805969948,2,2000,2,4,auto,20,squared_error
"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'squared_error'}",0.9626280973122144,0.12246387483132101,0.050378277354563274,0.005327144016840837,0.8629222527980315,0.851590560886941,0.8702575886349838,0.861567325015788,0.007675971681836363,3,1000,5,3,sqrt,10,squared_error
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'friedman_mse'}",0.1147372362902388,0.020527687858598768,0.00615327797519664,0.0014194259842621993,0.8605383498400574,0.8515904266069855,0.8661293596959515,0.8594017208696428,0.005985959134235199,4,100,2,3,sqrt,10,friedman_mse
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'friedman_mse'}",0.30404354131314903,0.005924236630053559,0.009513430685425798,0.0007884806836579571,0.8703471976655484,0.8311743393648311,0.8736587229515758,0.8583532481440966,0.0193036700017486,5,200,10,4,auto,20,friedman_mse
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'squared_error'}",0.16008791668961445,0.004667978234946964,0.006013528017016749,0.00069962942994054,0.8679017292423942,0.8285374997178007,0.8773126123379549,0.8578662400855975,0.0211312231255152,6,100,2,5,auto,20,squared_error
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'friedman_mse'}",0.165748514351435,0.016865760399794795,0.009542083678146204,0.004773239380361712,0.8670061299465543,0.8271746360744081,0.8762769124384638,0.8567680217155492,0.02130541013400246,7,100,2,2,auto,5,friedman_mse
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'friedman_mse'}",0.15197786133891591,0.019312610825037272,0.0043770693785821395,0.00012245698479718792,0.8628191748630044,0.830723684067673,0.8759466828559164,0.8564453292737935,0.018994544027991483,8,100,2,1,auto,5,friedman_mse
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'squared_error'}",1.500654722408702,0.05778678234390373,0.05467216631708046,0.004311659271385486,0.8666018232375444,0.8274921033315679,0.8736407133842259,0.8558648909491835,0.020306283404840506,9,1000,10,2,auto,5,squared_error
"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'friedman_mse'}",1.5878689860304196,0.06490793067280086,0.04855030538359036,0.0013430698171325137,0.865844340896432,0.8256275340156269,0.875024547723992,0.8554474240185644,0.021456878042738155,10,1000,5,3,auto,5,friedman_mse
"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'absolute_error'}",8.364913180354051,0.26710244563705443,0.046877250036535166,0.003649173815433556,0.8588788961891479,0.8169992873188562,0.8755185798056678,0.8503996588448175,0.024618736662168864,11,1000,2,5,auto,20,absolute_error
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'friedman_mse'}",0.08638265263289213,0.0024889578455659063,0.00522112501009057,0.0004073984074802291,0.8460277046313474,0.832030033077634,0.8556588223902888,0.8445430113426764,0.00969721113493945,12,100,5,2,sqrt,5,friedman_mse
"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'friedman_mse'}",1.639965014027742,0.014121554423737075,0.0970680273991699,0.0030305165262853348,0.8487535058892954,0.8234005358863762,0.8557388412423355,0.8425964665843279,0.013895746252781567,13,2000,2,2,log2,5,friedman_mse
"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'absolute_error'}",4.669094833002116,0.2137332189987324,0.12195056967902929,0.015038748540033066,0.8358753112447712,0.8332933773918216,0.8527674964649086,0.8406134947669099,0.008625096659093818,14,2000,2,4,log2,20,absolute_error
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'squared_error'}",0.16867113932191083,0.015943940923717263,0.009122166666202247,0.0008499165233718897,0.8284163668805845,0.8112751168509249,0.83677893282734,0.8254604315003855,0.010613630403399653,15,200,5,5,log2,5,squared_error
