params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_solver,param_alpha
"{'solver': 'auto', 'alpha': 3.4240061379714256e-05}",0.001833028004815181,0.001384606743338997,0.00025465300617118675,3.510988496808831e-05,0.8536961304420114,0.8425000331459875,0.8937650336392504,0.8632402816163722,0.021980877438749376,1,auto,3.4240061379714256e-05
"{'solver': 'svd', 'alpha': 0.0006696160054853222}",0.0931027499997678,0.039850540607636806,0.0007386113284155726,0.0004240400321923445,0.853466971074851,0.8409538312687999,0.8951967726324492,0.8631216717087691,0.02316291708280812,2,svd,0.0006696160054853222
"{'solver': 'sag', 'alpha': 0.0002245697995539774}",0.032040055317338556,0.00455972189737167,0.0006520000169984996,0.0004969647954968831,0.8455156380826055,0.8408913900006532,0.8975812059335473,0.8612340118794758,0.025669657723865383,3,sag,0.0002245697995539774
"{'solver': 'sag', 'alpha': 0.0002860595535175742}",0.030767430648362886,0.0037712559902703616,0.00042352798239638406,7.547677504469712e-05,0.8453536568343497,0.8408877149280971,0.8975890396616272,0.8611812452926204,0.025707547278420624,4,sag,0.0002860595535175742
"{'solver': 'lsqr', 'alpha': 0.00013650078065460138}",0.0729249029730757,0.006160193753445145,0.0007137913295688728,0.00043745896516897545,0.844638010262515,0.840261096005124,0.8969956734363981,0.8605358982867798,0.02574151076213349,5,lsqr,0.00013650078065460138
"{'solver': 'lsqr', 'alpha': 1.556654359271062e-05}",0.22181716633106893,0.13752143397974645,0.000644499979292353,0.00039835137990531876,0.8446382439253532,0.840260773578887,0.8969951075358279,0.8605356809804021,0.02574128163655286,6,lsqr,1.556654359271062e-05
"{'solver': 'lsqr', 'alpha': 1.1805165285688056e-05}",0.08230694466813777,0.01574075335775861,0.0003429583351438244,2.2342340447077194e-05,0.844638251192631,0.8402607635481882,0.8969950899292582,0.86053567421887,0.02574127450824635,7,lsqr,1.1805165285688056e-05
"{'solver': 'lsqr', 'alpha': 2.024446509976802e-06}",0.13576677767559886,0.026456351877078173,0.00038822198985144496,1.9806670951851885e-05,0.8446382700896725,0.8402607374646716,0.8969950441452962,0.8605356566360762,0.025741255971964864,8,lsqr,2.024446509976802e-06
"{'solver': 'lsqr', 'alpha': 1.4728827239075018e-06}",0.07300141665230815,0.01743634049376696,0.0006911806801023582,0.00021228353664031098,0.8446382711553296,0.8402607359937155,0.8969950415633351,0.8605356556444973,0.02574125492662595,9,lsqr,1.4728827239075018e-06
"{'solver': 'lsqr', 'alpha': 1.1483124145435112e-06}",0.1015914726885967,0.04677933570185907,0.00036791667419796187,2.2920235179842476e-05,0.8446382717824205,0.8402607351281233,0.8969950400439646,0.8605356550609964,0.025741254311490155,10,lsqr,1.1483124145435112e-06
"{'solver': 'sparse_cg', 'alpha': 0.00013186214013947485}",0.16967220833369842,0.07878212416064483,0.0006563609931617975,0.000406285865973627,0.844568210302804,0.8402173902031949,0.8970029121873758,0.8605003636838715,0.025770825639547235,11,sparse_cg,0.00013186214013947485
"{'solver': 'saga', 'alpha': 0.0005113387538414326}",0.03132813903115069,0.00645975509502939,0.00035880568126837414,2.272052795889334e-05,0.8438633346487524,0.8401396363947784,0.8973327316731082,0.8603481618772105,0.02609331335520309,12,saga,0.0005113387538414326
"{'solver': 'saga', 'alpha': 7.376797602527731e-05}",0.03436513898971801,0.0033939572524719773,0.0017640000053991873,0.001934205063821468,0.8437082962026452,0.8401441043687536,0.8973431670764467,0.860301299800526,0.026129883524603128,13,saga,7.376797602527731e-05
"{'solver': 'saga', 'alpha': 6.120498372476703e-05}",0.032611083336329706,0.00467144749723629,0.001325680350419134,0.0013660516061370744,0.8436862284924171,0.8401272865075564,0.8973515241062058,0.8602910748483648,0.026142831271010906,14,saga,6.120498372476703e-05
"{'solver': 'saga', 'alpha': 5.994842503189409e-06}",0.03245240298565477,0.005759769659839191,0.0008391386751706401,0.0006849622082842172,0.84363791941157,0.8401483614968841,0.8973400496619672,0.8602781682441619,0.026142275398596947,15,saga,5.994842503189409e-06
