params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_solver,param_alpha
"{'solver': 'saga', 'alpha': 3.3076497807442426e-06}",0.07924661862974365,0.03866619686230363,0.0006702649407088757,5.3190852484332275e-05,0.965457380096905,0.9568609204835586,0.9643798633647729,0.9622270709412637,0.0038272631249464772,1,saga,3.3076497807442426e-06
"{'solver': 'saga', 'alpha': 2.6510836019085362e-05}",0.08148520051812132,0.0023800352460426047,0.0007643842448790868,8.776185474421134e-05,0.9654236572727167,0.9568391688956025,0.9643725306904029,0.962206099448335,0.003826590638600489,2,saga,2.6510836019085362e-05
"{'solver': 'saga', 'alpha': 0.0005078152112327676}",0.1482566373112301,0.11470340757259744,0.005266380030661821,0.006458529743586681,0.9654122286536191,0.9568265008965479,0.9643899994617532,0.962203838381716,0.0038326168426119325,3,saga,0.0005078152112327676
"{'solver': 'sag', 'alpha': 1.2220446866314887e-05}",0.030078001009921234,0.004371400992301053,0.0006216455561419328,4.572789358039526e-05,0.9658782795351383,0.9567014520273058,0.9639866935191412,0.9621840770837953,0.003960372441899885,4,sag,1.2220446866314887e-05
"{'solver': 'svd', 'alpha': 0.0009461848194722001}",0.1470992974936962,0.2047622449183355,0.0006069350056350231,0.00018915145842556206,0.966973630006484,0.9563417908381404,0.962388918069513,0.9619001634842789,0.004359748990187652,5,svd,0.0009461848194722001
"{'solver': 'lsqr', 'alpha': 0.00023086779941871696}",0.04620512528344989,0.05043058358716183,0.0007916940376162529,0.0001351565198777285,0.9669455573664506,0.9564488078024012,0.9622353207035487,0.9618756178555035,0.004298387399924105,6,lsqr,0.00023086779941871696
"{'solver': 'sparse_cg', 'alpha': 1.915500555573528e-05}",0.06096257036551833,0.054648076314697654,0.0007239614302913348,1.9835175425273204e-05,0.9664596535470311,0.9561512569870542,0.9627995740475486,0.961800873599526,0.004272222807068111,7,sparse_cg,1.915500555573528e-05
"{'solver': 'sparse_cg', 'alpha': 0.00029817722900196735}",0.11384614805380504,0.06013069638622996,0.0006693095589677492,8.521932872887581e-05,0.9664595232251117,0.9561516244492381,0.9627816265183441,0.9617950018314574,0.004270629933917689,8,sparse_cg,0.00029817722900196735
"{'solver': 'sparse_cg', 'alpha': 2.5966559729348725e-05}",0.1386024539048473,0.025142947388950447,0.0007600874329606692,3.762546230805075e-05,0.966459649103759,0.9561513257023571,0.9627708387445717,0.961791367058402,0.004269984370550509,9,sparse_cg,2.5966559729348725e-05
"{'solver': 'svd', 'alpha': 0.00018632463119315598}",0.008746396284550428,0.001338152489110549,0.0005525072726110617,7.721542627481767e-06,0.9669940712943468,0.9552836991260178,0.9623955514167,0.961555569268133,0.004823445089263167,10,svd,0.00018632463119315598
"{'solver': 'auto', 'alpha': 1.4130259905995336e-05}",0.0017577723289529483,9.455156681882153e-05,0.0007660724222660065,0.0001989924284869568,0.9669966989592209,0.9478701402437077,0.9623486137536034,0.959063194504542,0.008153883628360378,11,auto,1.4130259905995336e-05
"{'solver': 'cholesky', 'alpha': 4.577840538376616e-06}",0.01322684638823072,0.015320148402739299,0.0009584512251118819,0.0002016837391612268,0.9669594479766561,0.9326971080421779,0.9622782374877512,0.9539564224680224,0.01518288014264953,12,cholesky,4.577840538376616e-06
"{'solver': 'auto', 'alpha': 4.577840538376616e-06}",0.009096430304149786,0.007664464271557926,0.0007000276818871498,6.016229899622811e-05,0.9669594479766561,0.9326971080421779,0.9622782374877512,0.9539564224680224,0.01518288014264953,12,auto,4.577840538376616e-06
"{'solver': 'svd', 'alpha': 3.2397426295281954e-06}",0.004181811741242806,0.0007340142048688289,0.0007347076510389646,0.00014956993654107232,0.9669345229772883,0.9251000992787377,0.962247259364764,0.9513988202801988,0.01873059185683961,14,svd,3.2397426295281954e-06
"{'solver': 'svd', 'alpha': 2.560993100258457e-06}",0.014366597092399994,0.01508699612596034,0.0011014177774389584,0.0004669982959259412,0.9669134444416284,0.9192729457349449,0.9622243257381469,0.949436675251135,0.021456541492079765,15,svd,2.560993100258457e-06
